Group No;Group Name;Name;Sub Name;Repeater Call Sign;Gateway Call Sign;Frequency;Dup;Offset;Mode;TONE;Repeater Tone;RPT1USE;Position;Latitude;Longitude;UTC Offset;
48;Poland;Chwaszczyno;JO94FK;SR2GT;;439,025000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,450000;18,430000;+1:00;439,02500000
48;Poland;JablowoPaluckie;JO82WW;SR2J;;145,750000;DUP-;0,600000;FM;TONE;74,4Hz;Yes;Approximate;52,910000;17,830000;+1:00;145,75000000
48;Poland;JablowoPaluckie;JO82WW;SR2JJ;;439,162500;DUP-;7,600000;FM;TONE;74,4Hz;Yes;Approximate;52,910000;17,830000;+1:00;439,16250000
48;Poland;Torun;JO93HB;SR2K;;145,712500;DUP-;0,600000;FM;TONE;88,5Hz;Yes;Approximate;53,040000;18,620000;+1:00;145,71250000
48;Poland;Wiezyca;JO94BF;SR2KU;;439,425000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,200000;18,110000;+1:00;439,42500000
48;Poland;Kwidzyn;JO93LR;SR2KY;;439,250000;DUP-;7,600000;FM;TONE;88,5Hz;Yes;Approximate;53,710000;18,950000;+1:00;439,25000000
48;Poland;Paslek;JO94TB;SR2PA;;439,300000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,060000;19,650000;+1:00;439,30000000
48;Poland;Brodnica;JO93QG;SR2PB;;145,737500;DUP-;0,600000;FM;TONE;88,5Hz;Yes;Approximate;;;+1:00;145,73750000
48;Poland;Slupsk;JO84LL;SR2SL;;438,750000;DUP-;7,600000;FM;OFF;;Yes;Approximate;54,460000;16,980000;+1:00;438,75000000
48;Poland;Torun;JO93HA;SR2SWR;;438,775000;DUP-;7,600000;FM;TONE;88,5Hz;Yes;Approximate;53,010000;18,600000;+1:00;438,77500000
48;Poland;Torun;JO93IA;SR2T;;145,775000;DUP-;0,600000;FM;OFF;;Yes;Approximate;53,020000;18,680000;+1:00;145,77500000
48;Poland;Bydgoszcz;JO93BD;SR2UVF;;438,937500;DUP-;7,600000;DV;OFF;;Yes;Approximate;53,140000;18,130000;+1:00;438,93750000
48;Poland;Chwaszczyno;JO94FK;SR2UVG B;SR2UVG G;438,687500;DUP-;7,600000;DV;OFF;;Yes;Approximate;54,450000;18,430000;+1:00;438,68750000
48;Poland;Wloclawek;JO92MP;SR2UVO;;438,962500;DUP-;7,600000;DV;OFF;;Yes;Approximate;52,640000;19,050000;+1:00;438,96250000
